Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S250907709,Blue Jay,Cyanocitta cristata,21066,X,US-TX,Travis,L47746793,Arroyo seco Tree,30.331316,-97.73472,2024-11-10,03:09 PM,eBird - Casual Observation,,0,,,1
S250912248,Blue Jay,Cyanocitta cristata,21066,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-22,09:12 AM,eBird - Casual Observation,,0,,,1
S250911127,Blue Jay,Cyanocitta cristata,21066,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-04-01,11:49 AM,eBird - Casual Observation,,0,,,1
S251237737,Blue Jay,Cyanocitta cristata,21066,X,US-TX,Travis,L47817184,Willow,30.326508,-97.735873,2025-06-16,08:03 PM,eBird - Casual Observation,,0,,,1
S250904600,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,21085,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2025-05-31,09:29 AM,eBird - Casual Observation,,0,,,1
S250915602,American Crow,Corvus brachyrhynchos,21333,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,08:32 AM,eBird - Casual Observation,,0,,,1
S250909911,American Crow,Corvus brachyrhynchos,21333,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-05-15,08:15 AM,eBird - Casual Observation,,0,,,1
S250903303,Carolina Chickadee,Poecile carolinensis,21836,X,US-TX,Travis,L47746836,Parmer Parking Lot,30.42965,-97.747379,2025-06-11,08:46 AM,eBird - Casual Observation,,0,,,1
S250910664,Purple Martin,Progne subis,23851,X,US-TX,Travis,L47747857,Arroyo Seco,30.330584,-97.734234,2024-04-17,05:07 AM,eBird - Casual Observation,,0,,,1
S250912229,Purple Martin,Progne subis,23851,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-22,09:12 AM,eBird - Casual Observation,,0,,,1
S250908076,Barn Swallow,Hirundo rustica,23957,X,US-TX,Travis,L47747857,Arroyo Seco,30.330584,-97.734234,2024-10-17,10:41 AM,eBird - Casual Observation,,0,,,1
S250911806,Ruby-crowned Kinglet,Corthylio calendula,26595,X,US-TX,Travis,L47748743,Zilker Park,30.268443,-97.770045,2024-03-23,01:34 PM,eBird - Casual Observation,,0,,,1
S250911776,Ruby-crowned Kinglet,Corthylio calendula,26595,X,US-TX,Travis,L47748743,Zilker Park,30.268443,-97.770045,2024-03-23,01:38 PM,eBird - Casual Observation,,0,,,1
S250915310,Carolina Wren,Thryothorus ludovicianus,27107,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,09:25 AM,eBird - Casual Observation,,0,,,1
S250915019,Carolina Wren,Thryothorus ludovicianus,27107,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,09:28 AM,eBird - Casual Observation,,0,,,1
S250907682,Carolina Wren,Thryothorus ludovicianus,27107,X,US-TX,Travis,L47746793,Arroyo seco Tree,30.331316,-97.73472,2024-12-14,12:19 PM,eBird - Casual Observation,,0,,,1
S250908772,Carolina Wren,Thryothorus ludovicianus,27107,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2024-10-12,12:11 PM,eBird - Casual Observation,,0,,,1
S250916477,Carolina Wren,Thryothorus ludovicianus,27107,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-07,03:26 PM,eBird - Casual Observation,,0,,,1
S250916436,Carolina Wren,Thryothorus ludovicianus,27107,X,US-TX,Travis,L47747193,Paddock Tree,30.325626,-97.737256,2024-03-07,03:49 PM,eBird - Casual Observation,,0,,,1
S250909049,Carolina Wren,Thryothorus ludovicianus,27107,X,US-TX,Travis,L47746836,Parmer Parking Lot,30.42965,-97.747379,2024-09-17,10:05 AM,eBird - Casual Observation,,0,,,1
S250908039,Bewick's Wren,Thryomanes bewickii,27121,X,US-TX,Travis,L47747857,Arroyo Seco,30.330584,-97.734234,2024-10-17,10:41 AM,eBird - Casual Observation,,0,,,1
S250904353,Bewick's Wren,Thryomanes bewickii,27121,X,US-TX,Travis,L47747110,Pace Bend Park,30.453678,-98.024564,2025-05-31,11:07 AM,eBird - Casual Observation,,0,,,1
S250903412,Bewick's Wren,Thryomanes bewickii,27121,X,US-TX,Travis,L47746836,Parmer Parking Lot,30.42965,-97.747379,2025-06-11,08:46 AM,eBird - Casual Observation,,0,,,1
S250915662,European Starling,Sturnus vulgaris,27571,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,08:26 AM,eBird - Casual Observation,,0,,,1
S250915475,European Starling,Sturnus vulgaris,27571,X,US-OH,Hamilton,L47747769,Norwood,39.154179,-84.454607,2024-03-16,08:32 AM,eBird - Casual Observation,,0,,,1
